file_name,n_samples,accuracy,f1_score,spearman_correlation,pearson_correlation,mse
Average character count,99,0.3535,0.2877,0.1985,0.1801,1.8889
Collocation Strength,99,0.3939,0.3739,0.1888,0.1448,1.697
Context entropy,99,0.4444,0.4507,0.3385,0.34,1.8081
Keyword frequency,99,0.4949,0.5057,0.4079,0.4085,1.3737
Most frequent class (baseline),99,0.3939,0.1413,,,1.4545
Number of distinct neighbors,99,0.4848,0.4504,0.3855,0.3463,1.2727
Random (baseline),99,0.1919,0.189,0.0318,0.0298,2.303
Syntactic Context Adversity,99,0.5051,0.5513,0.3492,0.3715,1.4747
